,GEOID,TRAFFIC,TRUCK,PM25,BENZENE,WASTEWATER,REME_AREA,CHEMICAL,OIL,POWER,LANDFILL,COMBUSTOR,METAL,INDUSTRIAL,VACANTHOME,HEAT90,FLOOD_RISK,NONVEG,AGRI_AREA,HOSPITAL,INCOME80,POVERTY100,NOBACHELOR,UNEMPLOYED,SGL_PARENT,HISPANIC,BLACK,ASIAN,NATIVE,ENGLISH,REDLINING,NO_INS,DISABILITY,AGE65PLUS,RENTERHOME,RENT_COST,ENERGY,MOBILEHOME,HOME1960,NOINTERNET
1,36001000100,6088.759,1083.380197,7.047656,0.6909173,0.00277106,11.81829414,4.06773761,0.74782045,0.1526532,0.14947062,0,0.06292331,0,15.1,41.26002,1.658444,68.48879435,0,3.233333333,74.91,26.28434886,88.29008649,10,19.125,12.8,74,3.7,4.4,4.5,3.236782,6.9,17.6,12.1,71,868,3,0,51.16772824,16.4
2,36001000200,1166.663,455.897933,6.884513,0.6911521,0.002788454,0.205767352,2.81442404,0.78910709,0.28091218,0.12204798,0,0.14262347,0,26.9,40.82168,1.445398,69.10934832,0,5.216666667,70.79,27.23863104,77.28177424,10.1,26.0732038,4.3,84.5,3.5,3.4,1.49118843,4,7.7,10.8,6.6,83.5065522,900,3,0,53.55137099,23.3
3,36001000300,4311.277,1148.359056,6.889275,0.690318,0.001191852,2.952348551,1.25121021,0.08514386,0.11855588,0,0,0,0,20.8,39.98435,1.295472,56.96669596,0,8.95,65.81,15.56451613,65.05205976,14,17.9085521,12.1,43.5,13.9,0.7,1.48179509,3.253245,4.8,16.1,15.9,63.5478408,1108,3,0,66.58839316,17.6
4,36001000401,1207.806,4312.849836,6.710733,0.6851943,0.001181085,0,0.14297517,0,0.73245836,0.64858905,0,0,0,11.5,39.7552,1.747916,25.20934444,0,7.883333333,36.44,5.5393586,52.70394134,2.5,1.6048144,4.6,7.6,3,0.6,2.00601805,NA,5.5,25.3,46.5,34.002006,1343,1,0,4.525288376,16.3
5,36001000403,2326.04,377.448809,6.897732,0.6899386,NA,0,0.58889989,0,0.13368873,0.04118105,0,0,0,9.7,40.03833,1.59022,58.81154618,0,6.466666667,39.5,9.94475138,45.60801899,5.6,1.4181153,5.8,12.9,8.6,2.8,6.17566331,2.125172,3.5,10.9,18.2,45.3796889,1087,2,0,83.93889348,18.3
6,36001000404,1580.557,1891.499414,6.903744,0.6884021,NA,0,0.24219959,0,0.17767991,0.16089734,0,0,0,80,39.94445,1.888771,58.10277357,0,12.93333333,NA,NA,97.9616307,16.1,0,19,22.5,8.9,0.9,0,NA,3.6,4.5,0.3,100,NA,4,17.3333333,20,0
7,36001000501,1206.359,277.659776,6.883778,0.6907934,NA,0,1.426261,0.12079176,0.32709326,0,0,0.04351501,0,12.8,40.4552,1.08,87.83259332,0,6.216666667,72.77,25.6593015,78.78787879,6.9,18.3531054,22.6,43.9,1.9,1.1,11.72365666,2.021002,6.8,11.2,10.2,80.2512212,897,3,0,59.82958004,28.2
8,36001000502,801.1011,238.378021,6.883778,0.6907696,NA,1.769439022,1.30207669,0.15784086,0.42906312,0,0,0.04509478,0,9.9,40.77363,1.76,59.47929569,0,5.6,48.72,7.42459397,70.23672055,8.9,6.3694268,10.6,20.1,11.7,0.4,3.82165605,2.370516,3.7,8.5,3.8,62.314225,995,2,0,80.11472275,19.4
9,36001000600,1120.238,252.797521,6.883778,0.6910576,0.000776721,0.061279096,1.88666911,0.39497786,0.88941576,0.05204201,0,0.11594233,0,20.7,40.89369,1.342839,93.88653353,0,5.15,79.83,36.65958953,77.84131523,16.7,13.28125,13.7,36.3,18.3,0.9,5.53977273,3.524794,7.5,12.4,3.2,90.6960227,980,4,1.295045,75.16891892,23.9
10,36001000700,594.0958,626.489032,6.883778,0.6910029,0.001446205,1.191319699,2.2404326,0.29531622,0.26797337,0.05648868,0,0.05688944,0,27.2,40.47874,1.100792,59.95446007,0,7.366666667,73.83,28.45303867,85.27022254,17.8,22.020202,9.9,80.7,1,3,2.69360269,4,6.4,22.2,12.1,72.7272727,969,3,0,83.81559588,23.7
